                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.8978,                 1.3136,                 1.1871,                0.62893,                0.59692,                0.56795,                0.30469,                 1.7052,                 1.3767,                 1.2143,             0.00040005,             0.00040005,             0.00040005
                    107,                 1.8441,                  1.337,                 1.2033,                0.67455,                0.62125,                0.62349,                 0.3322,                 1.6659,                  1.228,                 1.1868,             0.00039592,             0.00039592,             0.00039592
                    108,                 1.8588,                 1.3189,                 1.2067,                0.68351,                0.59631,                 0.6281,                0.33119,                 1.6705,                 1.1932,                 1.1759,              0.0003918,              0.0003918,              0.0003918
                    109,                 1.9115,                 1.3354,                  1.176,                0.58284,                0.52952,                0.53491,                 0.2806,                  1.734,                 1.3843,                  1.186,             0.00038768,             0.00038768,             0.00038768
                    110,                 1.9162,                  1.348,                 1.2757,                0.61802,                0.43222,                0.46416,                0.24814,                 1.7287,                 1.5661,                 1.1847,             0.00038355,             0.00038355,             0.00038355
                    111,                 1.8437,                 1.4153,                 1.2053,                0.64097,                0.53404,                0.57403,                0.29212,                 1.7053,                 1.4037,                 1.1764,             0.00037943,             0.00037943,             0.00037943
                    112,                 1.8017,                 1.3426,                 1.2311,                0.72939,                0.60553,                0.65731,                 0.3409,                 1.7029,                 1.2368,                 1.1665,             0.00037531,             0.00037531,             0.00037531
                    113,                  1.778,                 1.2477,                 1.1651,                0.66694,                0.65789,                0.66522,                0.34561,                 1.6707,                 1.2883,                 1.1557,             0.00037118,             0.00037118,             0.00037118
                    114,                 1.8984,                 1.3697,                 1.2475,                0.72483,                0.59587,                 0.6553,                0.33596,                 1.7104,                 1.2245,                 1.1672,             0.00036706,             0.00036706,             0.00036706
                    115,                 2.0223,                 1.3814,                 1.1872,                0.63416,                0.61371,                0.59557,                0.31052,                 1.6956,                 1.3023,                 1.1713,             0.00036294,             0.00036294,             0.00036294
                    116,                  1.874,                 1.2438,                 1.1524,                0.55567,                0.53827,                0.51643,                0.25665,                 1.8303,                 1.4308,                 1.2145,             0.00035881,             0.00035881,             0.00035881
                    117,                 1.8509,                 1.3341,                 1.2066,                0.57675,                0.54427,                0.53815,                0.27317,                 1.7755,                  1.383,                 1.1978,             0.00035469,             0.00035469,             0.00035469
                    118,                  1.836,                 1.3082,                 1.2159,                0.62899,                0.57709,                0.59386,                0.32316,                 1.6673,                 1.2633,                 1.1712,             0.00035057,             0.00035057,             0.00035057
                    119,                 1.8141,                 1.2655,                 1.1638,                0.73652,                0.60626,                0.66002,                 0.3585,                 1.6682,                 1.1621,                 1.1656,             0.00034644,             0.00034644,             0.00034644
                    120,                 1.8881,                 1.2739,                 1.2235,                0.71067,                0.63862,                 0.6687,                0.37006,                 1.6633,                 1.1441,                 1.1537,             0.00034232,             0.00034232,             0.00034232
                    121,                  1.815,                 1.3772,                 1.1694,                0.72761,                0.63755,                0.67466,                0.35893,                 1.6953,                 1.1712,                 1.1588,              0.0003382,              0.0003382,              0.0003382
                    122,                 1.8886,                 1.2458,                 1.2568,                0.76439,                0.67171,                0.69475,                0.38126,                  1.632,                 1.1401,                 1.1461,             0.00033407,             0.00033407,             0.00033407
                    123,                  1.793,                 1.2451,                 1.1701,                0.69018,                0.64788,                0.67119,                0.37755,                 1.5877,                 1.1659,                  1.149,             0.00032995,             0.00032995,             0.00032995
                    124,                 1.7618,                 1.1868,                 1.1734,                0.60509,                0.59819,                0.59774,                0.33421,                 1.6045,                 1.2987,                   1.16,             0.00032583,             0.00032583,             0.00032583
                    125,                 1.7879,                 1.1961,                 1.1548,                0.61156,                0.57283,                0.58772,                0.31865,                 1.6496,                 1.3309,                 1.1711,              0.0003217,              0.0003217,              0.0003217
                    126,                 1.9653,                 1.3066,                 1.2816,                 0.6305,                0.58781,                0.62817,                0.34465,                 1.6038,                 1.2443,                  1.158,             0.00031758,             0.00031758,             0.00031758
                    127,                 1.7815,                 1.2043,                 1.1267,                0.71633,                0.59659,                0.66011,                0.32951,                 1.6975,                  1.204,                 1.1802,             0.00031346,             0.00031346,             0.00031346
                    128,                 1.8513,                 1.2726,                 1.1482,                0.70857,                0.59703,                0.64089,                0.31157,                 1.7649,                 1.2267,                  1.199,             0.00030933,             0.00030933,             0.00030933
                    129,                 1.7915,                  1.236,                 1.1678,                0.66839,                0.56657,                0.59173,                0.30418,                 1.7318,                 1.2993,                 1.1883,             0.00030521,             0.00030521,             0.00030521
                    130,                 1.8647,                 1.2404,                  1.211,                0.67381,                0.59142,                0.60226,                0.33634,                 1.6182,                 1.2437,                 1.1577,             0.00030109,             0.00030109,             0.00030109
